id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
168085,5721,Alfa Romeo Racing Italiano,NULL,2005-06-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
141727,52381,Alfa: Antiterror,The story of the game follows a Russian special forces Alpha Group. The player guides the actions of the detachment of an elite squad Alpha Group to fight terrorism. Many jobs in the game are based on historical events.,2005-01-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
175041,210733,Alien Hominid,NULL,2005-02-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19695,73135,Alien Outbreak 2: Invasion,"Protorions, or alien ghosts, who are determined to wipe out the Galarion system, have possessed the friendly races of Humans: Tekkos, Kzeos and Insoids, and have only one thing in their way. A small ship armed to the teeth and piloted by you. Through eight missions and eighty levels of space shooting mayhem you will have to prove your courage and defeat the alien bosses.",2005-05-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
179510,43403,All Star Fighting,NULL,2005-12-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
113936,153633,Alpha Zone 3D,NULL,2005-10-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
70567,68265,Alpine Skiing 2005,"You are standing at the peak of one of the world's greatest ski runs. It is eerily quiet and the view of the mountains below is incredible. You are completely focused on the job in hand to descend the slope at breakneck speed, cutting through the gates and executing the all important jumps without reducing your speed. You are against the clock, against your fellow competitors and, of course, against the terrifying mountain itself. You hear the familiar countdown, take a deep breath and off you go.",2005-06-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
75437,19411,Altered Beast,"The story follows a man called Luke Custer who is a ""Genome-Cyborg"", a human whose DNA and other genetic make-up has been artificially altered by micro-chips containing the genetic make-up of other creatures to transform him into an anthropomorphic beast. After surviving a helicopter crash, Luke loses his memory and sets off to learn about the truth behind his past and the Genome-Cyborgs memory his is back.",2005-01-27 00:00:00.000,4,NULL,NULL,NULL,65.8344,7
77228,47304,American Chopper,NULL,2005-01-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
35350,3785,American Chopper 2: Full Throttle,NULL,2005-11-17 00:00:00.000,1,NULL,NULL,NULL,34.0000,2
118793,5722,America's Army: Rise of a Soldier,NULL,2005-11-17 00:00:00.000,1,NULL,75.0000,1,NULL,NULL
93153,5483,Amped 3,NULL,2005-11-22 00:00:00.000,2,NULL,70.0000,2,75.0000,4
59189,44649,Angel's Feather: Kohaku no Hitomi,NULL,2005-07-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
96885,51428,Angel's Feather: Kuro no Zanei,NULL,2005-07-30 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
98766,2645,Animal Crossing: Wild World,NULL,2005-11-23 00:00:00.000,27,NULL,75.0000,2,76.0964,98
119079,72665,Animamundi: Dark Alchemist,"Count Georik Zaberisk builds a sterling reputation as the head Royal Physician tending to the King of Hardland. However, the poor health of his frail sister, Lillith, drives him to resign from his post and retire to the countryside where he lives the charmed life of nobility. One day, while Georik is away, Lillith is accused and tried for witchcraft by an angry mob of villagers -- her head is chopped off and her body burned! Somehow Georik manages to secure Lillith’s head and to his amazement finds that she is still alive, and Georik is consumed with a desire to make Lillith whole again. Georik learns of the homunculi, who use alchemy. However, the Kingdom of Hardland had outlawed witchcraft and alchemy long ago. Georik is forced to delve into the banned world of alchemy in order to help his sister.",2005-01-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
80575,6306,"Animaniacs: Lights, Camera, Action!",NULL,2005-07-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
79405,3786,Animaniacs: The Great Edgar Hunt,NULL,2005-09-18 00:00:00.000,1,NULL,NULL,NULL,54.0000,0
183391,4849,Ankh,NULL,2005-11-04 00:00:00.000,NULL,NULL,76.0000,2,69.9824,5
136986,9566,Another Century's Episode,NULL,2005-01-27 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
118293,18595,Another Code: Two Memories,"Two days before her fourteenth birthday, Ashley Mizuki Robbins receives a package from her father, Richard Robbins, whom she thought was dead. The package contained a small handheld device called a Dual Another System, or ""DAS"" (Dual Trace System, DTS in the American release), along with an invitation to meet him on Blood Edward Island. The following day, her and her aunt , Jessica Robbins, set off for the island. While there, Ashley meets ""D"", a ghost with no memories, who has been wandering the island alone for decades since his death. Ashley attempts to aide D in uncovering his lost memories, while also uncovering the truth about her father, the murder of her murder, and the mysterious project, code named ""Another"".",2005-02-24 00:00:00.000,5,NULL,70.0000,1,64.2010,13
164488,4677,Anubis II,NULL,2005-07-14 00:00:00.000,1,NULL,30.0000,1,NULL,NULL
27429,68255,Aoi Umi no Tristia,"In the game, the player takes the role as a newcomer to the invention workshop, aimed at restoring the city in the middle of the sea, ""Tristia"". In the progress of the game, the player has to listen to the voices of the people living in the city and finishes the assigned tasks. And so, the conflicts between the characters and the special events that result are rather rich and complex. Depending on the player's performance and choices, different endings can be expected.",2005-08-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
173170,37047,Ape Academy 2,NULL,2005-12-15 00:00:00.000,NULL,NULL,NULL,NULL,61.9180,5
161068,6064,Ape Escape 3,NULL,2005-07-14 00:00:00.000,5,NULL,63.3333,5,79.4996,16
46372,44530,Ape Escape: On the Loose,NULL,2005-05-22 00:00:00.000,1,NULL,NULL,NULL,79.9204,6
60849,43649,Arc the Lad: End of Darkness,NULL,2005-07-14 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
50695,202798,Arcade Legends Menacer,NULL,2005-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
162304,202802,Arcade Legends Sega Mega Drive Volume 2,NULL,2005-04-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
177012,202803,Arcade Legends Sensible Soccer Plus,NULL,2005-09-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
177014,202804,Arcade Legends Street Fighter II': Special Champion Edition,NULL,2005-04-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
37371,22293,Archer Maclean's Mercury,NULL,2005-04-06 00:00:00.000,2,NULL,80.0000,2,NULL,NULL
60552,5729,Area 51,"In July 1947, an alien spacecraft crashed near Roswell, New Mexico in the United States. The craft was recovered by the U.S. Air Force and taken to Area 51 in Nevada, where the lone survivor of the crash, a powerful Grey named Edgar, was held captive by the U.S. military. Eventually, the Greys opened a dialogue with the Illuminati led by the ominous Mr. White (Phil Proctor), and struck a deal with them. The Illuminati would give the Greys a research base 3 miles below the surface of Area 51, the use of the base as a landing site, and give them human test subjects where they, along with human scientists, would research a mutagenic virus to use in a war on their homeworld. In return the Greys would give the Illuminati exclusive access to Grey technology. The Illuminati used some of this technology to spy on the population.

The Greys and the human scientists eventually developed a powerful alien being - known as the ""Theta"", which spread the virus. Unbeknownst to many of the scientists working on the project, the Greys and the Illuminati were also planning to use the virus against the Earth population and dominate the planet. When Dr. Winston Cray found out about the plan, he let loose the ""Theta"" and the mutagenic virus throughout Area 51, in an effort to slow them down. This prompted the military to send in a Quick Reaction Force led by Major Bridges (Powers Boothe) to quarantine and contain the virus. HAZMAT Team Delta, the first team initially sent into Area 51 are ambushed by the ""Theta"" creature, sustaining casualties, before withdrawing deeper into the base. HAZMAT Team Bravo, composed of team leader Ramirez, McCan, Crispy, and mission specialist Ethan Cole is sent to find Delta.",2005-04-25 00:00:00.000,10,NULL,76.6667,3,73.6136,31
58497,148494,Armed With Wings,NULL,2005-04-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
131213,46022,Armored Core: Formula Front - Extreme Battle,NULL,2005-11-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8469,19410,Armored Core: Last Raven,NULL,2005-08-04 00:00:00.000,1,NULL,50.5000,2,NULL,NULL
40663,52426,Army Racer,NULL,2005-12-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
35666,52425,Army Ranger: Mogadishu,NULL,2005-05-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
